run_id,subject,session,band,fmin,fmax,channel_set,n_channels,win_sec,step_sec,time_center_s,acc_mean,n_trials,n_splits,elapsed_s,pipeline
5,1,7,all,0.5,60.0,motor_17,17,0.5,0.2,1.05859375,0.48192771084337355,415,5,18.816594409000004,riem+svm_rbf_time_resolved
5,1,7,all,0.5,60.0,motor_17,17,0.5,0.2,1.26171875,0.5180722891566265,415,5,18.816594409000004,riem+svm_rbf_time_resolved
5,1,7,all,0.5,60.0,motor_17,17,0.5,0.2,1.46484375,0.5397590361445783,415,5,18.816594409000004,riem+svm_rbf_time_resolved
5,1,7,all,0.5,60.0,motor_17,17,0.5,0.2,1.66796875,0.5421686746987951,415,5,18.816594409000004,riem+svm_rbf_time_resolved
5,1,7,all,0.5,60.0,motor_17,17,0.5,0.2,1.87109375,0.5204819277108433,415,5,18.816594409000004,riem+svm_rbf_time_resolved
5,1,7,all,0.5,60.0,motor_17,17,0.5,0.2,2.07421875,0.5662650602409638,415,5,18.816594409000004,riem+svm_rbf_time_resolved
5,1,7,all,0.5,60.0,motor_17,17,0.5,0.2,2.27734375,0.5542168674698795,415,5,18.816594409000004,riem+svm_rbf_time_resolved
5,1,7,all,0.5,60.0,motor_17,17,0.5,0.2,2.48046875,0.563855421686747,415,5,18.816594409000004,riem+svm_rbf_time_resolved
6,1,7,all,0.5,60.0,motor_17,17,1.0,0.2,0.49609375,0.6216867469879519,415,5,14.389192899999983,riem+svm_rbf_time_resolved
6,1,7,all,0.5,60.0,motor_17,17,1.0,0.2,0.69921875,0.6337349397590362,415,5,14.389192899999983,riem+svm_rbf_time_resolved
6,1,7,all,0.5,60.0,motor_17,17,1.0,0.2,0.90234375,0.6457831325301205,415,5,14.389192899999983,riem+svm_rbf_time_resolved
6,1,7,all,0.5,60.0,motor_17,17,1.0,0.2,1.10546875,0.6024096385542169,415,5,14.389192899999983,riem+svm_rbf_time_resolved
6,1,7,all,0.5,60.0,motor_17,17,1.0,0.2,1.30859375,0.5831325301204819,415,5,14.389192899999983,riem+svm_rbf_time_resolved
6,1,7,all,0.5,60.0,motor_17,17,1.0,0.2,1.51171875,0.5855421686746988,415,5,14.389192899999983,riem+svm_rbf_time_resolved
6,1,7,all,0.5,60.0,motor_17,17,1.0,0.2,1.71484375,0.6265060240963856,415,5,14.389192899999983,riem+svm_rbf_time_resolved
6,1,7,all,0.5,60.0,motor_17,17,1.0,0.2,1.91796875,0.5903614457831325,415,5,14.389192899999983,riem+svm_rbf_time_resolved
6,1,7,all,0.5,60.0,motor_17,17,1.0,0.2,2.12109375,0.619277108433735,415,5,14.389192899999983,riem+svm_rbf_time_resolved
7,1,7,all,0.5,60.0,motor_17,17,1.5,0.2,0.74609375,0.6602409638554217,415,5,11.283448123,riem+svm_rbf_time_resolved
7,1,7,all,0.5,60.0,motor_17,17,1.5,0.2,0.94921875,0.6771084337349398,415,5,11.283448123,riem+svm_rbf_time_resolved
7,1,7,all,0.5,60.0,motor_17,17,1.5,0.2,1.15234375,0.6771084337349398,415,5,11.283448123,riem+svm_rbf_time_resolved
7,1,7,all,0.5,60.0,motor_17,17,1.5,0.2,1.35546875,0.6626506024096386,415,5,11.283448123,riem+svm_rbf_time_resolved
7,1,7,all,0.5,60.0,motor_17,17,1.5,0.2,1.55859375,0.653012048192771,415,5,11.283448123,riem+svm_rbf_time_resolved
7,1,7,all,0.5,60.0,motor_17,17,1.5,0.2,1.76171875,0.655421686746988,415,5,11.283448123,riem+svm_rbf_time_resolved
7,1,7,all,0.5,60.0,motor_17,17,1.5,0.2,1.96484375,0.6963855421686747,415,5,11.283448123,riem+svm_rbf_time_resolved
8,1,7,all,0.5,60.0,motor_17,17,2.0,0.2,0.99609375,0.691566265060241,415,5,6.448713086999987,riem+svm_rbf_time_resolved
8,1,7,all,0.5,60.0,motor_17,17,2.0,0.2,1.19921875,0.708433734939759,415,5,6.448713086999987,riem+svm_rbf_time_resolved
